"","age","cups","where_drink","purchase_other","favourite","favorite_specify","additions","additions_other","sweetener","style","strength","roast_level","caffeine","expertise","coffee_a_bitterness","coffee_a_acidity","coffee_a_personal_preference","coffee_b_bitterness","coffee_b_acidity","coffee_b_personal_preference","coffee_c_bitterness","coffee_c_acidity","coffee_c_personal_preference","coffee_d_bitterness","coffee_d_acidity","coffee_d_personal_preference","prefer_abc","prefer_ad","prefer_overall","wfh","total_spend","know_source","most_paid","most_willing","value_cafe","spent_equipment","value_equipment","gender","education_level","employment_status","number_children","political_affiliation"
"1","<18 years old","3","At home, At the office, At a cafe",NA,"Pourover",NA,"No - just black, Milk, dairy alternative, or coffee creamer",NA,NA,"Bright","Medium","Light","Full caffeine",10,1,1,1,1,1,1,1,1,1,1,1,1,"Coffee A","Coffee D","Coffee B","I primarily work from home",">$100",NA,NA,NA,NA,NA,NA,"Other (please specify)","Bachelor's degree","Employed full-time","More than 3","Democrat"
"2",">65 years old","3","At the office, At a cafe",NA,"Cortado",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Blonde","Full caffeine",7,3,3,3,3,3,3,3,3,3,3,3,3,"Coffee C","Coffee D","Coffee D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","25-34 years old","1","At home, At the office, On the go",NA,"Regular drip coffee",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",NA,"Granulated Sugar, Brown Sugar","Sweet","Somewhat strong","Medium","Full caffeine",6,3,3,3,3,3,3,3,3,3,3,3,3,"Coffee A","Coffee A","Coffee B","I primarily work from home","$40-$60",NA,NA,NA,NA,NA,NA,"Female","Bachelor's degree","Employed full-time","None","Democrat"
"4","18-24 years old","2","At the office",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Nordic","Full caffeine",4,4,4,4,4,4,4,NA,4,4,4,4,4,NA,"Coffee D","Coffee A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","45-54 years old","2","At home, At the office, At a cafe, On the go",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Floral","Medium","Light","Full caffeine",8,3,3,4,3,3,5,4,3,3,5,2,3,"Coffee B","Coffee A","Coffee B","I primarily work from home","$20-$40","Yes","$4-$6","$8-$10","No","$500-$1000","Yes","Male","Master's degree","Employed full-time","2","No affiliation"
"6",">65 years old","1","At home",NA,"Regular drip coffee",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Dark",NA,2,3,3,3,3,3,3,4,3,NA,4,3,4,"Coffee C","Coffee D","Coffee C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","25-34 years old","2","At home, At the office",NA,"Pourover",NA,"No - just black",NA,NA,"Floral","Medium","Light","Full caffeine",10,1,4,4,1,4,4,1,4,4,2,4,4,"Coffee A","Coffee A","Coffee A","I do a mix of both","$40-$60","Yes","$2-$4","More than $20","Yes","$50-$100","Yes","Male","Master's degree","Unemployed","None","Independent"
"8","35-44 years old","1","At the office, At home",NA,"Iced coffee",NA,"No - just black",NA,NA,"Fruity","Very strong","Light","Full caffeine",6,1,4,3,3,2,4,3,4,1,1,4,5,"Coffee A","Coffee D","Coffee D","I primarily work in person","$20-$40","Yes","$10-$15","More than $20","Yes","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","3","No affiliation"
"9","45-54 years old","More than 4","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Full Bodied","Somewhat strong","Dark","Full caffeine",7,2,3,4,3,2,2,2,2,2,3,3,2,"Coffee A","Coffee A","Coffee A","I primarily work from home","$40-$60","Yes","$10-$15","$15-$20","Yes","$300-$500","Yes","Male","Bachelor's degree","Employed full-time","3","No affiliation"
"10","35-44 years old","1","At the office, At a cafe, At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, No - just black",NA,"Granulated Sugar, Brown Sugar","Nutty","Medium","Medium","Full caffeine",8,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","35-44 years old","2","At a cafe, At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Floral","Somewhat strong","Blonde","Full caffeine",4,3,4,5,2,3,4,2,3,4,1,2,3,"Coffee A","Coffee A","Coffee A","I do a mix of both","$60-$80","Yes","$6-$8","$4-$6","Yes","More than $1,000","Yes","Male","Less than high school","Unemployed","2","Independent"
"12","45-54 years old","2","At home",NA,"Pourover",NA,"No - just black",NA,NA,"Fruity","Somewhat light","Light","Full caffeine",8,4,3,3,2,2,4,3,2,3,3,4,5,"Coffee B","Coffee D","Coffee D","I primarily work from home",">$100","Yes","$6-$8","$8-$10","No","$100-$300","Yes","Male","Bachelor's degree","Employed full-time","More than 3","Republican"
"13","35-44 years old","2","At home, At the office",NA,"Latte",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Somewhat strong","Medium","Full caffeine",2,1,5,2,2,3,3,2,3,4,2,2,5,"Coffee C","Coffee D","Coffee D","I primarily work in person","$20-$40","No","$4-$6","$6-$8","Yes","$50-$100","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"14","25-34 years old","1","At home",NA,"Cappuccino",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Chocolatey","Medium","Medium","Half caff",7,4,4,1,3,3,3,4,4,2,3,3,2,"Coffee B","Coffee D","Coffee B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","45-54 years old","Less than 1","At a cafe",NA,"Iced coffee",NA,"Sugar or sweetener",NA,"Granulated Sugar","Sweet","Somewhat strong","Medium","Half caff",2,2,4,4,2,3,2,4,2,5,4,2,4,"Coffee C","Coffee A","Coffee D","I primarily work in person","<$20","No","$8-$10","$8-$10","No","$20-$50","Yes","Male","Some college or associate's degree","Employed full-time","None","Democrat"
"16","25-34 years old","1","On the go",NA,"Cold brew",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Medium","Full caffeine",1,2,2,3,2,2,3,3,4,3,4,3,2,"Coffee B","Coffee A","Coffee C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","35-44 years old","1","At the office, At home",NA,"Americano",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Nutty","Medium","Light","Full caffeine",7,4,3,3,2,3,2,2,4,1,2,2,5,"Coffee A","Coffee D","Coffee D","I primarily work from home",NA,"Yes","$8-$10","$4-$6","Yes","$100-$300","Yes","Female","Bachelor's degree","Employed full-time","1","No affiliation"
"18","35-44 years old","3","At home, At the office",NA,"Espresso",NA,"No - just black",NA,NA,"Nutty","Somewhat strong","Medium","Half caff",8,1,1,1,2,2,2,3,3,3,4,4,4,"Coffee A","Coffee D","Coffee C","I do a mix of both","$20-$40","Yes","$8-$10","$8-$10","No","More than $1,000","No","Male","Doctorate or professional degree","Employed full-time","2","Independent"
"19","25-34 years old","2","At home",NA,"Cortado",NA,"No - just black",NA,NA,"Chocolatey","Somewhat strong","Dark","Full caffeine",7,2,4,3,4,3,5,3,3,4,2,5,2,"Coffee B","Coffee A","Coffee B","I primarily work from home","$60-$80","No","$4-$6","$6-$8","Yes","More than $1,000","Yes","Male","Bachelor's degree","Employed full-time","1","Democrat"
"20","35-44 years old","2","At home",NA,"Cold brew",NA,"No - just black",NA,NA,"Nutty","Medium","Light","Full caffeine",7,1,2,4,4,2,2,2,3,3,3,4,5,"Coffee A","Coffee D","Coffee D","I primarily work from home","$40-$60","Yes","$10-$15","More than $20","Yes","$500-$1000","Yes","Male","Bachelor's degree","Employed full-time","None","Democrat"
"21","35-44 years old","2","At the office, At home, On the go",NA,"Iced coffee",NA,"Milk, dairy alternative, or coffee creamer",NA,NA,"Full Bodied",NA,"Medium","Full caffeine",6,2,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","25-34 years old",NA,NA,NA,NA,NA,"Milk, dairy alternative, or coffee creamer, No - just black",NA,NA,"Chocolatey","Medium","Dark",NA,5,2,4,NA,3,3,3,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","25-34 years old","More than 4","At home, At a cafe",NA,"Cappuccino",NA,"No - just black",NA,NA,"Fruity","Somewhat strong","Light","Full caffeine",6,2,4,4,5,1,2,3,3,3,1,5,5,"Coffee A","Coffee D","Coffee D","I primarily work from home",">$100","Yes","$6-$8","More than $20","Yes","$300-$500","No","Male","Bachelor's degree","Employed full-time","None","Democrat"
"24","35-44 years old","More than 4","At home, At a cafe",NA,"Espresso",NA,"No - just black",NA,NA,"Bold","Very strong","Medium","Full caffeine",8,1,1,4,3,2,3,1,1,3,1,4,1,"Coffee A","Coffee A","Coffee A","I primarily work from home",">$100","Yes","$8-$10","$10-$15","Yes","$500-$1000","Yes","Male","Master's degree","Employed full-time","2","No affiliation"
