Biometry_ID,Region,Period,SpecificChronology,ChronGeneral,Chron,Excluded_from_NISP,Site.name,Area,SiteID,TaxonName,Taxon,Element,ElementName,GL,GLl,GLm,Bp,Dp,SD,DD_shaft,Dl,Bd,Dd,BT,HT,HTC,GLpe,BatF,Dc,GB,BFd,BFp,Comments,AnalysisEdits,Individual,IndiDuplicate,MeasurementPrecision,TaxonGroup
100,South,Iron Age,IA1,IA1,IA.Mid,NA,Castenaso,Bologna - Castenaso,59,Cattle,B,AS,Astragalus,NA,56.8,52.1,NA,NA,NA,NA,32.5,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,NA,NA,Cattle
198,Veneto,Bronze Age,BA.R-F,BRF-IA0,BA.Late,NA,Fondo Paviani,Riedel 1979 - Recent/Final,21,Cattle,B,AS,Astragalus,NA,54,NA,NA,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
199,Veneto,Bronze Age,BA.R-F,BRF-IA0,BA.Late,NA,Fondo Paviani,Riedel 1979 - Recent/Final,21,Cattle,B,AS,Astragalus,NA,54.1,NA,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
200,Veneto,Bronze Age,BA.R-F,BRF-IA0,BA.Late,NA,Fondo Paviani,Riedel 1979 - Recent/Final,21,Cattle,B,AS,Astragalus,NA,56.3,NA,NA,NA,NA,NA,30.6,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
202,Veneto,Bronze Age,BA.R-F,BRF-IA0,BA.Late,NA,Fondo Paviani,Riedel 1979 - Recent/Final,21,Cattle,B,AS,Astragalus,NA,59.2,NA,NA,NA,NA,NA,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
203,Veneto,Bronze Age,BA.R-F,BRF-IA0,BA.Late,NA,Fondo Paviani,Riedel 1979 - Recent/Final,21,Cattle,B,AS,Astragalus,NA,63.8,NA,NA,NA,NA,NA,35.9,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
204,Veneto,Bronze Age,BA.R-F,BRF-IA0,BA.Late,NA,Fondo Paviani,Riedel 1979 - Recent/Final,21,Cattle,B,AS,Astragalus,NA,NA,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
205,North,Bronze Age,BA.R-F,BRF-IA0,BA.Late,NA,Cavalzara,Riedel 1979,20,Cattle,B,AS,Astragalus,NA,57.2,NA,NA,NA,NA,NA,32.2,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
243,South,Iron Age,IA1,IA1,IA.Mid,NA,Marzabotto,V 3,68,Cattle,B,AS,Astragalus,NA,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
244,South,Iron Age,IA1,IA1,IA.Mid,NA,Marzabotto,V 3,68,Cattle,B,AS,Astragalus,NA,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cattle
