"","opid","operator","atype","remarks","phase_of_flt","ac_mass","num_engs","date","time_of_day","state","height","speed","effect","sky","species","birds_seen","birds_struck"
"1","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE","Descent",4,2,1990-09-30,"Night","IL",7000,250,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"2","USA","US AIRWAYS","FK-28-4000","2 BIRDS, NO DAMAGE.","Climb",4,2,1993-11-29,"Day","MD",10,140,"None","No Cloud","UNKNOWN BIRD - MEDIUM","2-Oct","2-Oct"
"3","AAL","AMERICAN AIRLINES","B-727-200",NA,"Approach",4,3,1993-08-13,"Day","TN",400,140,"None","Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"4","AAL","AMERICAN AIRLINES","MD-82",NA,"Climb",4,2,1993-10-07,"Day","VA",100,200,"None","Overcast","UNKNOWN BIRD - SMALL",NA,"1"
"5","AAL","AMERICAN AIRLINES","MD-82","NO DAMAGE","Climb",4,2,1993-09-25,"Day","SC",50,170,"None","Some Cloud","UNKNOWN BIRD - SMALL","2-Oct","1"
"6","GFT","GULFSTREAM INTL AIRLINES","BE-99","FLT 714.  TIME = 1951Z","Landing Roll",2,2,1993-09-20,"Day","FL",0,40,"None","Some Cloud","HAWKS",NA,"1"
"7","NWA","NORTHWEST AIRLINES","DC-9","15 MI NE OF OMAHA.  NO DAMAGE","En Route",4,2,1993-08-30,"Night","NE",4000,230,"None","Some Cloud","UNKNOWN BIRD",NA,"1"
"8","PHM","PETROLEUM HELICOPTERS","AEROS 350","HIT A FLOCK, ASSUME 2-10.","Climb",2,1,1991-02-14,"Day",NA,100,50,NA,"No Cloud","GULLS","2-Oct","2-Oct"
"9","AAL","AMERICAN AIRLINES","B-727-200",NA,"Approach",4,3,1992-05-28,"Day","UT",200,130,"None","No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"10","AAL","AMERICAN AIRLINES","MD-80","NO DAMAGE","Approach",4,2,1992-05-25,"Day","TN",200,150,"None","Overcast","EUROPEAN STARLING","2-Oct","1"
"11","AAL","AMERICAN AIRLINES","MD-82",NA,"Take-off run",4,2,1993-08-02,"Day","FL",0,125,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"12","USA","US AIRWAYS","B-737-200","NO DAMAGE","Climb",4,2,1992-05-11,"Night","NY",800,160,"None","No Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"13","VGA","AIR VEGAS","C-402","BIRD STRUCK BASE OF WINDSHIELD ON PILOT SIDE.  WINDSHLD BROKE  & BIRD HIT TOP OF INSTRUMENT PANEL.  ALTITUDE INDICATOR,  ALTIMETER, VSI AND RADIOS WERE DAMAGED.  NO INJURIES.","En Route",2,2,1990-06-13,"Day",NA,4500,155,"Precautionary Landing","No Cloud","HAWKS",NA,"1"
"14","BUS","BUSINESS","PA-24 COMANCHE","JUST AFTER GEAR DOWN SOMETHING STRUCK THE PASSENGER SIDE OF  A/C. SINCE IT WAS DARK, WE LANDED AND THEN WITH A FLASH LIGHT  COULD SEE THAT A BIRD HAD STRUCK THE RIGHT FRONT OF FUSELAGE -  TEARING BOTH AIR VENTS OFF AND DAMAGING THE DOOR.","Approach",1,1,1990-08-05,"Night","ID",1000,175,"None","No Cloud","DUCKS",NA,"1"
"15","MRK","MARKAIR","B-737-200","GULL INGESTED IN RT ENG. COMPRESSOR STALLED ONCE, LANDED A/C &  SECURED ENG DURING ROLL OUT. NOTED FUEL FLOW FLUCTUATION AFTER  THE STRIKE. INSPN FOUND AT LEAST 7 DAMAGED FAN BLADES. (DATA  ENTRY NOTE: DATE OF STRIKE REPTD AS 3 AND 4TH)","Approach",4,2,1990-08-03,"Day","AK",500,140,"Other","No Cloud","GULLS",NA,"1"
"16","AAL","AMERICAN AIRLINES","MD-82","REMARKS ON COMPANY PAPERWORK INDICATED BIRDS IN VICINITY.   NO DAMAGE.","Take-off run",4,2,1991-07-12,"Dawn","VA",0,90,"None","Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
"17","AAL","AMERICAN AIRLINES","MD-80","JUST A DIRTY WINDSHLD. NO DAMAGE.","Descent",4,2,1990-05-07,"Day","TX",5500,240,NA,"No Cloud","UNKNOWN BIRD - MEDIUM",NA,"1"
"18","CRO","CROWN AIRWAYS","SHORTS 330",NA,"Take-off run",3,2,1993-10-20,"Day","PA",0,90,"None","Some Cloud","MOURNING DOVE","2-Oct","2-Oct"
"19","PVT","PRIVATELY OWNED","PA-32","NO DAMAGE, JUST BLOODIED WING.","Approach",1,1,1990-07-12,"Day","CA",20,85,NA,NA,"ROCK PIGEON",NA,"1"
"20","UAL","UNITED AIRLINES","B-727-200","PILOT SAID THERE WAS NO DAMAGE, BIRDS HIT UNDER THE FUSELAGE A&  A/C VENT. FOG.","Climb",4,3,1990-05-12,"Day","NE",35,140,"None","Overcast","BLACKBIRDS",NA,"11-100"
"21","AAL","AMERICAN AIRLINES","B-727","NO DAMAGE NOTED BY FLT. CREW.  BIRD STRIKE NOTED IN A/C LOG BOOK.  SPARROW OR ROBIN.","Approach",4,3,1990-05-13,"Day","TN",300,140,NA,"Some Cloud","UNKNOWN BIRD - SMALL",NA,"1"
