"","country","year","lifeExp","gdpPercap"
"1","Australia",1952,69.12,10039.59564
"2","Australia",1957,70.33,10949.64959
"3","Australia",1962,70.93,12217.22686
"4","Australia",1967,71.1,14526.12465
"5","Australia",1972,71.93,16788.62948
"6","Australia",1977,73.49,18334.19751
"7","Australia",1982,74.74,19477.00928
"8","Australia",1987,76.32,21888.88903
"9","Australia",1992,77.56,23424.76683
"10","Australia",1997,78.83,26997.93657
"11","Australia",2002,80.37,30687.75473
"12","Australia",2007,81.235,34435.36744
"13","Colombia",1952,50.643,2144.115096
"14","Colombia",1957,55.118,2323.805581
"15","Colombia",1962,57.863,2492.351109
"16","Colombia",1967,59.963,2678.729839
"17","Colombia",1972,61.623,3264.660041
"18","Colombia",1977,63.837,3815.80787
"19","Colombia",1982,66.653,4397.575659
"20","Colombia",1987,67.768,4903.2191
"21","Colombia",1992,68.421,5444.648617
"22","Colombia",1997,70.313,6117.361746
"23","Colombia",2002,71.682,5755.259962
"24","Colombia",2007,72.889,7006.580419
